id,nombre,distrito,lat,lng,zona,subzona,precioMedio,precioM2,metrosCuadrados,fuente,fechaActualizacion,ventajas,desventajas
"1","Palacio","Centro","40.4204","-3.7143","Capital","Centro","1900","23.8","80","Idealista","Febrero 2025","Ubicación privilegiada junto al Palacio Real y Plaza de Oriente | Teatro Real - principal escenario de ópera de España a menos de 200m | Catedral de la Almudena y Jardines de Sabatini a 5 minutos andando | Excelente conexión de transporte: Ópera (L2, L5, Ramal Norte) y Sol (L1, L2, L3) | Ambiente señorial y arquitectura histórica bien conservada | Zona de alta seguridad con presencia policial constante | Proximidad a restaurantes de lujo y comercios exclusivos en Calle del Arenal | Vistas panorámicas únicas de Madrid desde la Cornisa del Palacio","Precios de alquiler 40% superiores a la media de Madrid (€23.8/m²) | Masificación turística permanente, especialmente en Plaza de Oriente | Tráfico denso en Calles Bailén y Mayor con restricciones frecuentes | Ruido constante por actividades turísticas hasta altas horas | Falta de supermercados asequibles - predominan tiendas de lujo y souvenirs | Dificultad extrema para aparcar - zona de máxima restricción ORA | Escasez de servicios cotidianos como farmacias o bancos no turísticos"
"2","Embajadores (Lavapiés)","Centro","40.4088","-3.7055","Capital","Centro","1750","21.9","80","Fotocasa","Marzo 2025","Centro social autogestionado La Tabacalera - referente cultural alternativo | Ambiente multicultural único con comunidades de más de 80 nacionalidades | Mercado de San Fernando con productos internacionales y precios asequibles | Excelente comunicación: Metro Lavapiés (L3), Embajadores (L3) y Atocha (L1) a 10 min | Oferta gastronómica diversa: restaurantes indios, senegaleses, bangladesíes y fusión | Galeries de arte independientes y talleres de artistas en Calles Tribulete y Amparo | Proyectos comunitarios y asociaciones vecinales muy activas | Rutas de tapas alternativas en Calles Argumosa y Ave María","Edificios del siglo XIX sin ascensor en 70% de las viviendas | Calles estrechas como la Cabeza o Sombrerete con acumulación de basura | Proceso de gentrificación acelerado - precios subieron 22% en 2 años | Percepción de inseguridad nocturna en zonas alejadas de calles principales | Ruido constante por vida en la calle y comercio hasta tarde | Dificultad para aparcar - zona de residentes muy disputada | Conflicto vecinal entre tradición y nueva población gentrificada"
"3","Cortes (Huertas)","Centro","40.4157","-3.6961","Capital","Centro","2100","24","87","Bankinter","Febrero 2025","Corazón del Barrio de las Letras con citas literarias en adoquines | A 5 minutos del Triángulo del Arte: Prado, Thyssen y Reina Sofía | Plaza Santa Ana - epicentro de terrazas y vida social madrileña | Excelente transporte: Sevilla (L2), Sol (L1,L2,L3) y Antón Martín (L1) | Ambiente cultural vibrante con teatros como Español y La Latina | Restaurantes de alta cocina en Calles Echegaray y Huertas | Arquitectura histórica bien conservada con patios señoriales | Proximidad a instituciones como Congreso de los Diputados","Ruido nocturno extremo en calles Huertas y Príncipe hasta 4-5 AM | Masificación turística permanente - difícil intimidad vecinal | Precios de alquiler más altos de Centro (€24/m²) | Problemas de limpieza en fin de semana por acumulación de residuos | Imposible aparcar - zona turística con máxima rotación | Comercios orientados al turismo, falta servicios cotidianos | Viviendas antiguas con problemas de aislamiento acústico"
"4","Justicia (Chueca)","Centro","40.4252","-3.6981","Capital","Centro","2200","24.1","91","Idealista","Marzo 2025","Epicentro LGTBIQ+ de España con ambiente de tolerancia y diversidad | Mercado de San Antón - gastronomía premium y rooftop con vistas | Comercio de diseño independiente en Calles Hortaleza y Argensola | Excelente comunicación: Metro Chueca (L5), Alonso Martínez (L4,L5,L10) | Restaurantes de moda y cocina fusión en Calles Pelayo y Augusto Figueroa | Eventos culturales constantes: Madrid Pride, festivales de diseño | Ambiente cosmopolita con residentes internacionales y creativos | Servicios especializados: gimnasios boutique, spas y wellness centers","Precios premium - alquileres 45% superiores a media madrileña | Masificación los fines de semana - calles colapsadas de viernes a domingo | Ruido nocturno constante en Plaza de Chueca y calles aledañas | Aparcamiento prácticamente imposible - zona de máxima restricción | Gentrificación extrema - desplazamiento de comercio tradicional | Viviendas reformadas pero con precios de lujo en edificios antiguos | Falta de tranquilidad - actividad comercial y ocio 24/7"
"5","Universidad (Malasaña)","Centro","40.4266","-3.7073","Capital","Centro","2100","24.4","86","Idealista","Febrero 2025","Cuna de la Movida Madrileña con ambiente creativo y alternativo | Plaza del 2 de Mayo - epicentro de terrazas y vida social juvenil | Comercio vintage y tiendas independientes en Calles Velarde y Espíritu Santo | Excelente transporte: Tribunal (L1,L10), Bilbao (L1,L4) y San Bernardo (L2,L4) | Oferta cultural en centros como Instituto Europeo de Design y galerías urbanas | Bares de cócteles de autor y gastronomía trendy en Calles Corredera Alta y San Vicente Ferrer | Ambiente joven y dinámico con eventos como Mercado de Motores | Arquitectura tradicional con patios reconvertidos en espacios coworking","Gentrificación avanzada - precios subieron 35% en últimos 3 años | Saturación turística en calles Fuencarral y Gran Vía los fines de semana | Ruido constante hasta 4-5 AM en zonas de ocio nocturno | Viviendas pequeñas y antiguas con precios de barrio premium | Dificultad para residentes tradicionales por cambio de comercio local | Aparcamiento caótico - una de las zonas más conflictivas de Madrid | Masificación en horarios de tapeo y copas - colas en bares populares"
"6","Sol","Centro","40.4168","-3.7038","Capital","Centro","2050","23.8","86","Fotocasa","Marzo 2025","Kilómetro 0 de España - centro neurálgico de la red de carreteras nacional | Conexión de transporte excepcional: Sol (L1,L2,L3) y múltiples líneas de bus | Plaza Mayor a 2 minutos - arquitectura histórica y eventos culturales | Acceso inmediato a centros comerciales como El Corte Inglés Callao | Puerta del Sol - reloj de la Casa de Correos y emblemática estatua del Oso y el Madroño | Calle Preciados - principal eje comercial peatonal de Madrid | Servicios 24/7: farmacias de guardia, comisarías centrales, oficinas de turismo | Proximidad a instituciones como Comunidad de Madrid y Real Casa de Correos","Masificación turística extrema - más de 300.000 personas diarias en temporada alta | Ruido constante 24/7 por tráfico, turistas y actividades comerciales | Precios inflados en comercios y restaurantes orientados al turismo | Imposible tranquilidad - ambiente de 'no parque temático' permanente | Seguridad complicada en horas nocturnas por concentración de botellón | Falta absoluta de aparcamiento - zona de máxima restricción y rotación | Comercio local desaparecido - sustituido por franquicias y tiendas de souvenirs"
"7","Recoletos","Salamanca","40.4238","-3.6866","Capital","Este","2400","26.8","90","Idealista","Febrero 2025","Paseo de Recoletos - una de las avenidas más exclusivas de Europa | Biblioteca Nacional y Museo Arqueológico Nacional a menos de 200m | Arquitectura señorial del siglo XIX con fachadas perfectamente conservadas | Barrio más seguro de Madrid con presencia policial y seguridad privada | Cercanía a parques emblemáticos: Jardines del Descubrimiento y Retiro | Restaurantes con estrella Michelin y gastronomía de alta gama | Comercio de lujo en Calles Serrano y Velázquez a 5 minutos andando | Excelente transporte: Colón (L4), Serrano (L4) y Recoletos (Cercanías)","Precio más elevado de Madrid - €26.8/m², 60% superior a la media | Ambiente excesivamente formal y conservador - poco diversidad social | Comercio exclusivamente de lujo - falta supermercados y tiendas cotidianas | Estacionamiento en garajes privados desde €250-€400 mensuales | Vida nocturna casi inexistente - ambiente residencial muy tranquilo | Edificios con normas de comunidad estrictas y conservadoras | Alejado de ambiente auténtico madrileño - muy internacional y elitista"
"8","Goya","Salamanca","40.4255","-3.6701","Capital","Este","2200","22.2","99","Bankinter","Marzo 2025","Calle Goya - eje comercial principal con 1.5km de tiendas y servicios | Estación de metro Goya (L2, L4) - una de las mejor conectadas de Madrid | Zona residencial consolidada con amplias viviendas familiares (media 99m²) | Servicios de alta calidad: colegios privados, clínicas exclusivas, bancos | Mercado de la Paz - productos gourmet y gastronomía de calidad | Proximidad a Parque del Retiro - acceso a 10 minutos andando | Ambiente tranquilo y familiar con amplias aceras y zonas arboladas | Comercio especializado: moda infantil, decoración y servicios premium","Tráfico intenso en Calle Goya - congestión constante en horas punta | Precios elevados - 35% superiores a la media madrileña | Vida nocturna casi inexistente - ambiente residencial muy tranquilo | Edificios de los años 60-70 sin reformar en calles secundarias | Falta de diversidad social y cultural - perfil socioeconómico homogéneo | Aparcamiento complicado a pesar de ser zona residencial | Comercio muy convencional - pocas opciones alternativas o jóvenes"
"9","Fuente del Berro","Salamanca","40.4331","-3.6574","Capital","Este","1850","18.6","99","Idealista","Febrero 2025","Parque Quinta de la Fuente del Berro - jardín histórico del siglo XVII con especies botánicas únicas | Precios más asequibles que el resto de Salamanca - 15% menos que Goya/Serrano | Zona residencial muy tranquila con calles arboladas y poco tráfico | Excelente conexión con M-30 - acceso directo en 2 minutos por Avenida de la Paz | Ambiente familiar y seguro - una de las zonas preferidas por familias del distrito | Mercado de San Pascual - comercio tradicional con productos de calidad | Colegios públicos y privados de prestigio en radio cercano | Viviendas espaciosas con terrazas y zonas comunes amplias","Alejado del centro del distrito - 20-25 minutos andando a Serrano/Goya | Comercio limitado comparado con ejes principales del barrio de Salamanca | Metro más alejado: Ventas (L5) a 10-15 minutos andando para algunas calles | Edificios de los años 70-80 sin las reformas de lujo de otras zonas de Salamanca | Menos servicios de ocio y restauración - predominio de comercio local básico | Falta de ambiente juvenil - población mayoritariamente familiar y senior | Transporte público menos frecuente que en zonas céntricas del distrito"
"10","Guindalera","Salamanca","40.4409","-3.6678","Capital","Este","1600","18.9","85","Idealista","Marzo 2025","La opción más asequible del distrito Salamanca - 25% más barato que Goya | Parque de Eva Perón - amplia zona verde con áreas infantiles y deportivas | Ambiente familiar muy tranquilo - calles residenciales poco transitadas | Excelente conexión de transporte: Diego de León (L4,L5,L6,L7) y Avenida de América | Mercado de la Guindalera - comercio tradicional con precios razonables | Proximidad a centros comerciales como ABC Serrano y El Corte Inglés de Avenida de América | Colegios públicos bien valorados y guarderías en zona cercana | Zona en proceso de renovación con nuevas promociones residenciales","Menor prestigio que el resto de Salamanca - considerado 'el hermano pobre' del distrito | Alejado de la zona comercial premium de Serrano/Goya - 30 minutos andando | Edificación de los años 60-70 sin el glamour de la arquitectura señorial salamantina | Servicios menos exclusivos - predominio de comercio básico y cadenas estándar | Menos ambiente y vida social - zona principalmente dormitorio | Tráfico en calles periféricas como Francisco Silvela y Doctor Esquerdo | Falta de identidad propia - transición entre Salamanca y Chamartín"
